"…","…"
"Browse Files…","Dateien durchsuchen…"
"Complete","Vollständig"
"Maximum allowed file size for upload is","Die maximale Dateigröße für den Upload ist"
"Please check your server PHP settings.","Bitte prüfen Sie Ihre Server PHP-Einstellungen."
"Remove","Entfernen"
"There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to proceed?","Es wurden Dateien zum Hochladen ausgewählt, jedoch noch nicht hochgeladen. Wenn Sie in eine andere Registerkarte wechseln, wird Ihre Auswahl gelöscht. Möchten Sie fortfahren?"
"untranslated_string","untranslated_string"
"Upload file","Datei hochladen"
"Uploading …","Lädt hoch…"
